lote_id,osm_type,osm_id,nombre_original,categoria_preliminar,etiqueta_osm,latitud,longitud,datos_osm,categoria_oficial,categoria_slug_destino,subcategoria_nombre,subcategoria_slug_destino,confianza_mapeo,estado_importacion,motivo_observacion,publicable_propuesto
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,node,13573974387,AGROfértil,Agropecuario y mascotas,agrarian,0.7957907,-77.7368713,"{""name"":""AGROfértil"",""shop"":""agrarian""}",Agropecuario y mascotas,agropecuario-mascotas,Insumos agropecuarios,insumos-agropecuarios,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,node,13573974334,AgroNorte,Agropecuario y mascotas,agrarian,0.7892554,-77.743302,"{""name"":""AgroNorte"",""shop"":""agrarian""}",Agropecuario y mascotas,agropecuario-mascotas,Insumos agropecuarios,insumos-agropecuarios,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,way,1479832133,FarmAgro sucursal Tulcán,Agropecuario y mascotas,agrarian,0.7866466,-77.7443439,"{""name"":""FarmAgro sucursal Tulcán"",""shop"":""agrarian""}",Agropecuario y mascotas,agropecuario-mascotas,Insumos agropecuarios,insumos-agropecuarios,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,node,3329963642,Antojitos Express,Alimentos y bebidas,restaurant,0.812633,-77.7169282,"{""name"":""Antojitos Express"",""amenity"":""restaurant""}",Comida y bebidas,comida-bebidas,Restaurantes,restaurantes,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,way,607228553,Asadero de pollos,Alimentos y bebidas,restaurant,0.8037154,-77.7277148,"{""name"":""Asadero de pollos"",""amenity"":""restaurant""}",Comida y bebidas,comida-bebidas,Restaurantes,restaurantes,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,node,4978422322,Asadero la Brasa,Alimentos y bebidas,restaurant,0.8037676,-77.7277605,"{""name"":""Asadero la Brasa"",""amenity"":""restaurant""}",Comida y bebidas,comida-bebidas,Restaurantes,restaurantes,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,node,4978421924,Asados de Agapito,Alimentos y bebidas,restaurant,0.8017338,-77.7307894,"{""name"":""Asados de Agapito"",""amenity"":""restaurant""}",Comida y bebidas,comida-bebidas,Restaurantes,restaurantes,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,way,607551532,Asados del Agapito,Alimentos y bebidas,restaurant,0.8018693,-77.7307388,"{""name"":""Asados del Agapito"",""amenity"":""restaurant""}",Comida y bebidas,comida-bebidas,Restaurantes,restaurantes,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,node,3329963644,Baraka,Alimentos y bebidas,cafe,0.8125975,-77.7183502,"{""name"":""Baraka"",""amenity"":""cafe""}",Comida y bebidas,comida-bebidas,Cafeterías,cafeterias,alta,valido,,false
5979a1d9-2be4-42d5-a98f-4ce30c1d1b03,node,3329963646,Broaster King,Alimentos y bebidas,fast_food,0.8125822,-77.7170075,"{""name"":""Broaster King"",""amenity"":""fast_food""}",Comida y bebidas,comida-bebidas,Comida rápida,comida-rapida,alta,valido,,false
